Rep,TrtNo,TrtNameFull,TrtNameT1,MassBefore,MassTarget,MassAfter,Ht,NoLeaves,LLL,Slouch
10,3,T1 LE/T2 control,LE,135.5,73.08,168.1,8.8,8,10.5,Y
10,4,T1 SL/T2 control,SL,128.3,72.46,150.7,6.5,7,7,Y
10,5,T1 LL/T2 control,LL,58,76.14,80.4,6.9,7,7.6,Y
10,6,T1 control/T2 short,Control,146.9,75.34,169.7,6.7,7,7.9,Y
10,7,T1 SE/T2 short,SE,126.8,70.45,154.1,9.8,8,10.6,Y
10,8,T1 LE/T2 short,LE,139.7,76.76,175.3,10,8,10.9,Y
10,9,T1 SL/T2 short,SL,144.2,80.75,169.8,7.8,8,7.1,N
10,10,T1 LL/T2 control,LL,54.6,77.51,163.7,8.4,6,8.3,Y
10,11,T1 control/T2 long,Control,160.6,77.66,181.6,6.3,7,6.6,Y
10,12,T1 SE/T2 long,SE,144,79.56,180.6,9.4,8,11.4,Y
10,13,T1 LE/T2 long,LE,134.6,73.61,163.4,10.5,8,11.7,Y
10,14,T1 SL/T2 long,SL,64.7,76.03,77.1,,,,
10,15,T1 LL/T2 long,LL,54.1,77.13,161.4,8.1,7,8.1,Y
